pick_id,date,time,gender,tour_level,tournament,round,match,bet,player_name,opponent_name,player_key,opponent_key,player_api_key,opponent_api_key,player_canonical_key,opponent_canonical_key,mapping_status,match_status,prediction_match_id,winner_key,loser_key,winner_name,loser_name,surface,level,picked_side_in_prediction,old_model_prob,old_implied_prob,old_edge,odds,stake,result,old_profit,old_roi,elo_prob_pick,elo_pick_prob,elo_selected_side,elo_agrees_with_old_pick,elo_implied_prob,elo_edge,elo_min_level_matches,elo_min_surface_matches,elo_eligible,elo_no_bet_reason,winner_level_matches,loser_level_matches,winner_surface_matches,loser_surface_matches,player_last10_win_rate,opponent_last10_win_rate,last10_win_rate_diff,h2h_matches,h2h_player_wins,h2h_opponent_wins,favorite_type,confidence,quality_score,best_bookmaker,market_median_odds,bookmakers_used
5e893bdaa85a02e159e2dcfb2e2e25ef,2026-05-05,05:00,women,challenger,Jiujiang (China) - Qualification,Jiujiang - 1/16-finals,A. Zolotareva - M. Yamaguchi,A. Zolotareva,A. Zolotareva,M. Yamaguchi,13411,98,women:api:13411,women:api:98,women:sackmann:221209,women:sackmann:215614,mapped,no_prediction_match,,,,,,,,,0.66,0.4545,0.2055,2.2,1.5,loss,-1.5,-1.0,,,,,0.4545,,,,False,no_prediction_match,,,,,0.7,0.3,0.4,0,0,0,underdog,88,92.9,bet365,2.13,10
eccbab3087fb339c1eae76eec3ba0426,2026-05-05,07:30,men,challenger,Wuxi,Wuxi - 1/16-finals,A. Bolt - F. Sun,F. Sun,F. Sun,A. Bolt,876,3319,men:api:876,men:api:3319,men:sackmann:111806,men:sackmann:106109,mapped,no_prediction_match,,,,,,,,,0.6,0.4695,0.1305,2.13,1.25,win,1.4125,1.1300000000000001,,,,,0.4695,,,,False,no_prediction_match,,,,,0.8,0.5556,0.2444,2,0,2,underdog,88,89.9,Pncl,2.05,10
876b3960c1a866fc9418bd5a2ff422f5,2026-05-05,07:30,men,challenger,Wuxi,Wuxi - 1/16-finals,Wu Tung-Lin - J. McCabe,Wu Tung-Lin,Wu Tung-Lin,J. McCabe,1062,1882,men:api:1062,men:api:1882,men:sackmann:126555,men:sackmann:210317,mapped,no_prediction_match,,,,,,,,,0.74,0.5952,0.1448,1.68,1.5,loss,-1.5,-1.0,,,,,0.5952,,,,False,no_prediction_match,,,,,0.7,0.5,0.2,3,1,2,favorite,96,93.7,Pncl,1.63,10
9caed61b2fbd8bb92b8186c28199e99b,2026-05-05,08:00,women,challenger,Jiujiang (China) - Qualification,Jiujiang - 1/16-finals,A. Ito - L. Cabrera,L. Cabrera,L. Cabrera,A. Ito,497,13618,women:api:497,women:api:13618,,women:sackmann:256684,player_unmapped:not_in_mapping,no_prediction_match,,,,,,,,,0.6,0.4,0.2,2.5,1.25,win,1.875,1.5,,,,,0.4,,,,False,no_prediction_match,,,,,0.8,0.4,0.4,3,0,3,underdog,88,86.4,bet365,2.4,7
0bdb0a1c4eb8ff1a7f0635dc3ee72ac2,2026-05-05,09:30,women,challenger,Jiujiang (China) - Qualification,Jiujiang - 1/16-finals,Y. Yang - C. Zhao,Y. Yang,Y. Yang,C. Zhao,1384,1822,women:api:1384,women:api:1822,women:sackmann:215820,women:sackmann:203475,mapped,no_prediction_match,,,,,,,,,0.66,0.4651,0.1949,2.15,1.25,loss,-1.25,-1.0,,,,,0.4651,,,,False,no_prediction_match,,,,,0.4,0.1,0.3,0,0,0,underdog,88,88.4,Betano,2.08,7
81bbcda8162fa9653a5fa451e78d2f27,2026-05-05,10:00,women,challenger,Istanbul (Turkey) - Qualification,Istanbul - 1/16-finals,M. Timofeeva - N. Noha Akugue,N. Noha Akugue,N. Noha Akugue,M. Timofeeva,1029,12869,women:api:1029,women:api:12869,women:sackmann:223333,women:sackmann:221237,mapped,no_prediction_match,,,,,,,,,0.62,0.4762,0.1438,2.1,1.5,loss,-1.5,-1.0,,,,,0.4762,,,,False,no_prediction_match,,,,,0.8,0.6,0.2,0,0,0,underdog,96,92.7,10Bet,2.08,8
5a95345b7bea3219f3c9adee9c103561,2026-05-05,11:00,men,challenger,Francavilla,Francavilla - 1/16-finals,A. Barrena - A. Holmgren,A. Holmgren,A. Holmgren,A. Barrena,19536,1324,men:api:19536,men:api:1324,men:sackmann:200416,men:sackmann:209875,mapped,no_prediction_match,,,,,,,,,0.6,0.4292,0.1708,2.33,1.25,win,1.6625,1.33,,,,,0.4292,,,,False,no_prediction_match,,,,,0.6667,0.6,0.0667,1,0,1,underdog,88,86.2,Unibet,2.22,6
af852aff6632c977d868a664b89737bf,2026-05-05,11:30,unknown,qualifying,Rome,ATP Rome - Final,H. Dellien - J. De Jong,H. Dellien,H. Dellien,J. De Jong,2980,412,,,,,both_unmapped:missing_api_key|missing_api_key,no_prediction_match,,,,,,,,,0.74,0.4545,0.2855,2.2,1.25,loss,-1.25,-1.0,,,,,0.4545,,,,False,no_prediction_match,,,,,0.8,0.4,0.4,4,2,2,underdog,96,88.2,Pncl,2.1,5
a2dc47f4433bb6c3d635699717363850,2026-05-05,10:30,men,challenger,Wuxi,Wuxi - 1/16-finals,L. Castelnuovo - O. Milic,L. Castelnuovo,L. Castelnuovo,O. Milic,2220,52882,men:api:2220,men:api:52882,men:sackmann:132573,men:sackmann:212207,mapped,no_prediction_match,,,,,,,,,0.6407,0.4167,0.2241,2.4,1.25,loss,-1.25,-1.0,,,,,0.4167,,,,False,no_prediction_match,,,,,0.8,0.6667,0.1333,0,0,0,underdog,88,86.2,Sbo,2.3,6
05f7e73fe1f472dcf442d312bba6d1d4,2026-05-05,10:00,women,challenger,Istanbul (Turkey) - Qualification,Istanbul - 1/16-finals,M. Timofeeva - N. Noha Akugue,N. Noha Akugue,N. Noha Akugue,M. Timofeeva,1029,12869,women:api:1029,women:api:12869,women:sackmann:223333,women:sackmann:221237,mapped,no_prediction_match,,,,,,,,,0.6,0.4545,0.1455,2.2,1.5,loss,-1.5,-1.0,,,,,0.4545,,,,False,no_prediction_match,,,,,0.8,0.6,0.2,0,0,0,underdog,88,92.9,Unibet,2.1,11
