pick_id,status,decision,confidence,reason,date,time,gender,level,surface,surface_source,raw_event_type_type,raw_event_type_key,raw_event_type,raw_event_name,raw_event_country_name,raw_league_name,raw_competition_name,raw_tournament_name,raw_tournament_round,context_text,tournament,round,match,pick,opponent,side,market_side,odds,avg_odds,median_odds,best_odds,best_bookmaker,implied_prob,tle_model,tle_prob,tle_edge,tle_min_level_matches,tle_min_surface_matches,bookmakers_raw,bookmakers_clean,outlier_bookmakers_removed,stake,stake_label,player_key,opponent_key,player_api_key,opponent_api_key,player_canonical_key,opponent_canonical_key,mapping_status,player_last5_win_rate,opponent_last5_win_rate,last5_win_rate_diff,player_last10_win_rate,opponent_last10_win_rate,last10_win_rate_diff,player_last10_set_diff_avg,opponent_last10_set_diff_avg,last10_set_diff_diff,player_last10_game_diff_avg,opponent_last10_game_diff_avg,last10_game_diff_diff,h2h_matches,h2h_player_wins,h2h_opponent_wins,form_support,h2h_support,fatigue_flag,created_at
e5e1dc25f423f654dd37f20235c97144,pending,NO_BET,none,unknown_surface,2026-06-19,14:00,men,atp_wta,unknown,missing,Atp Singles,,,,,,,London,ATP London - 1/8-finals,atp singles london atp london   1/8 finals 2042,London,ATP London - 1/8-finals,H. Medjedovic - U. Humbert,H. Medjedovic,U. Humbert,home,Home,2.4054,2.4054,2.38,2.52,Pncl,0.41573127,blend_70_30,,,,,13,13,0,,,2677,1105,men:api:2677,men:api:1105,men:sackmann:209098,men:sackmann:200005,mapped,0.6,0.6,0.0,0.7,0.6,0.1,0.6,0.4,0.2,0.9,1.0,-0.1,1,0,1,FORM_NEUTRAL,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:26:56.998783+02:00
7efcb8b06d88061cd6f626414aa51c73,pending,NO_BET,none,unknown_surface,2026-06-19,14:00,men,atp_wta,unknown,missing,Atp Singles,,,,,,,London,ATP London - 1/8-finals,atp singles london atp london   1/8 finals 2042,London,ATP London - 1/8-finals,H. Medjedovic - U. Humbert,U. Humbert,H. Medjedovic,away,Away,1.56,1.56,1.57,1.6,Pncl,0.64102564,blend_70_30,,,,,13,13,0,,,1105,2677,men:api:1105,men:api:2677,men:sackmann:200005,men:sackmann:209098,mapped,0.6,0.6,0.0,0.6,0.7,-0.1,0.4,0.6,-0.2,1.0,0.9,0.1,1,1,0,FORM_NEUTRAL,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:26:56.998846+02:00
086a70b33ec92c55542a86d67521a105,pending,NO_BET,none,unknown_surface,2026-06-19,16:00,men,atp_wta,unknown,missing,Atp Singles,,,,,,,Halle,ATP Halle - Quarter-finals,atp singles halle atp halle   quarter finals 2041,Halle,ATP Halle - Quarter-finals,F. Tiafoe - F. Auger-Aliassime,F. Tiafoe,F. Auger-Aliassime,home,Home,2.4667,2.4667,2.495,2.55,Unibet,0.40539993,blend_70_30,,,,,12,12,0,,,2846,2073,men:api:2846,men:api:2073,men:sackmann:126207,men:sackmann:200000,mapped,0.8,0.6,0.2,0.7,0.7,0.0,0.6,0.7,-0.1,2.6,2.9,-0.3,3,0,3,FORM_NEUTRAL,H2H_AGAINST_PICK,FATIGUE_NEUTRAL,2026-06-19T09:26:58.987254+02:00
bab5e92817333ae60d8413282265b6c4,pending,NO_BET,none,unknown_surface,2026-06-19,16:00,men,atp_wta,unknown,missing,Atp Singles,,,,,,,Halle,ATP Halle - Quarter-finals,atp singles halle atp halle   quarter finals 2041,Halle,ATP Halle - Quarter-finals,F. Tiafoe - F. Auger-Aliassime,F. Auger-Aliassime,F. Tiafoe,away,Away,1.5417,1.5417,1.53,1.62,Pncl,0.64863462,blend_70_30,,,,,12,12,0,,,2073,2846,men:api:2073,men:api:2846,men:sackmann:200000,men:sackmann:126207,mapped,0.6,0.8,-0.2,0.7,0.7,0.0,0.7,0.6,0.1,2.9,2.6,0.3,3,3,0,FORM_NEUTRAL,H2H_SUPPORTS_PICK,FATIGUE_NEUTRAL,2026-06-19T09:26:58.987330+02:00
82d5f46517a9a58a4ae22c95da6a2037,pending,NO_BET,none,unknown_surface,2026-06-19,14:30,men,atp_wta,unknown,missing,Atp Singles,,,,,,,London,ATP London - Quarter-finals,atp singles london atp london   quarter finals 2042,London,ATP London - Quarter-finals,A. Fery - F. Cerundolo,A. Fery,F. Cerundolo,home,Home,2.445,2.445,2.47,2.55,Unibet,0.40899796,blend_70_30,,,,,12,12,0,,,8174,1104,men:api:8174,men:api:1104,men:sackmann:209259,men:sackmann:202103,mapped,0.8,0.8,0.0,0.7,0.6,0.1,0.8,0.5,0.3,2.2,3.0,-0.8,0,0,0,FORM_NEUTRAL,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:00.942496+02:00
3f95e923a07a1dbe5e587b826d319b18,pending,NO_BET,none,unknown_surface,2026-06-19,14:30,men,atp_wta,unknown,missing,Atp Singles,,,,,,,London,ATP London - Quarter-finals,atp singles london atp london   quarter finals 2042,London,ATP London - Quarter-finals,A. Fery - F. Cerundolo,F. Cerundolo,A. Fery,away,Away,1.5475,1.5475,1.55,1.61,Pncl,0.64620355,blend_70_30,,,,,12,12,0,,,1104,8174,men:api:1104,men:api:8174,men:sackmann:202103,men:sackmann:209259,mapped,0.8,0.8,0.0,0.6,0.7,-0.1,0.5,0.8,-0.3,3.0,2.2,0.8,0,0,0,FORM_NEUTRAL,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:00.942566+02:00
95cb9c997353afec85f8dc158a521257,pending,NO_BET,none,unknown_surface,2026-06-19,12:30,men,atp_wta,unknown,missing,Atp Singles,,,,,,,London,ATP London - Quarter-finals,atp singles london atp london   quarter finals 2042,London,ATP London - Quarter-finals,A. De Minaur - B. Nakashima,A. De Minaur,B. Nakashima,home,Home,1.3783,1.3783,1.38,1.4,Superbet,0.72553145,blend_70_30,,,,,12,12,0,,,1106,2838,men:api:1106,men:api:2838,men:sackmann:200282,men:sackmann:206909,mapped,0.8,0.8,0.0,0.7,0.6,0.1,1.1,0.5,0.6,3.8,2.7,1.1,2,1,1,FORM_NEUTRAL,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:02.936312+02:00
d899f534108d2386d878f78ea1e32c90,pending,NO_BET,none,unknown_surface,2026-06-19,12:30,men,atp_wta,unknown,missing,Atp Singles,,,,,,,London,ATP London - Quarter-finals,atp singles london atp london   quarter finals 2042,London,ATP London - Quarter-finals,A. De Minaur - B. Nakashima,B. Nakashima,A. De Minaur,away,Away,3.0175,3.0175,3.02,3.2,bet365,0.33140017,blend_70_30,,,,,12,12,0,,,2838,1106,men:api:2838,men:api:1106,men:sackmann:206909,men:sackmann:200282,mapped,0.8,0.8,0.0,0.6,0.7,-0.1,0.5,1.1,-0.6,2.7,3.8,-1.1,2,1,1,FORM_NEUTRAL,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:02.936391+02:00
2be3b55a637df202d66be82a92c395d5,pending,NO_BET,none,unknown_surface,2026-06-19,15:00,women,atp_wta,unknown,missing,Wta Singles,,,,,,,Nottingham,WTA Nottingham - Quarter-finals,wta singles nottingham wta nottingham   quarter finals 2215,Nottingham,WTA Nottingham - Quarter-finals,J. Bouzas Maneiro - E. Navarro,J. Bouzas Maneiro,E. Navarro,home,Home,2.5767,2.5767,2.61,2.69,Pncl,0.3880933,blend_70_30,,,,,12,12,0,,,154,2823,women:api:154,women:api:2823,women:sackmann:222601,women:sackmann:215613,mapped,0.4,0.6,-0.2,0.6,0.8,-0.2,0.3,0.8,-0.5,1.1,2.8,-1.7,1,1,0,FORM_AGAINST_PICK,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:04.888907+02:00
42dd713abfd66ac8e61cbd0281c1c70d,pending,NO_BET,none,unknown_surface,2026-06-19,15:00,women,atp_wta,unknown,missing,Wta Singles,,,,,,,Nottingham,WTA Nottingham - Quarter-finals,wta singles nottingham wta nottingham   quarter finals 2215,Nottingham,WTA Nottingham - Quarter-finals,J. Bouzas Maneiro - E. Navarro,E. Navarro,J. Bouzas Maneiro,away,Away,1.4942,1.4942,1.5,1.53,WilliamHill,0.66925445,blend_70_30,,,,,12,12,0,,,2823,154,women:api:2823,women:api:154,women:sackmann:215613,women:sackmann:222601,mapped,0.6,0.4,0.2,0.8,0.6,0.2,0.8,0.3,0.5,2.8,1.1,1.7,1,0,1,FORM_SUPPORTS_PICK,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:04.888968+02:00
aa8e4ab3c2cab77c46ceb5ed2efe9025,pending,NO_BET,none,odds_outside_range,2026-06-19,15:30,women,atp_wta,unknown,missing,Wta Singles,,,,,,,Berlin,WTA Berlin - Quarter-finals,wta singles berlin wta berlin   quarter finals 3183,Berlin,WTA Berlin - Quarter-finals,A. Sabalenka - N. Bartunkova,A. Sabalenka,N. Bartunkova,home,Home,1.0983,1.0983,1.1,1.11,Pncl,0.91049804,blend_70_30,,,,,12,12,0,,,1989,9196,women:api:1989,women:api:9196,women:sackmann:214544,women:sackmann:223360,mapped,0.8,0.6,0.2,0.7,0.6,0.1,1.0,0.3,0.7,3.5,0.3,3.2,0,0,0,FORM_NEUTRAL,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:06.907673+02:00
f384a10e55842019e71423c1068636c3,pending,NO_BET,none,odds_outside_range,2026-06-19,15:30,women,atp_wta,unknown,missing,Wta Singles,,,,,,,Berlin,WTA Berlin - Quarter-finals,wta singles berlin wta berlin   quarter finals 3183,Berlin,WTA Berlin - Quarter-finals,A. Sabalenka - N. Bartunkova,N. Bartunkova,A. Sabalenka,away,Away,7.015,7.015,7.0,7.65,Pncl,0.14255167,blend_70_30,,,,,12,10,2,,,9196,1989,women:api:9196,women:api:1989,women:sackmann:223360,women:sackmann:214544,mapped,0.6,0.8,-0.2,0.6,0.7,-0.1,0.3,1.0,-0.7,0.3,3.5,-3.2,0,0,0,FORM_NEUTRAL,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:06.907731+02:00
61790c55297eabf3421a2b82f881a184,pending,NO_BET,none,min_level_not_met,2026-06-19,13:30,women,qualifying,unknown,missing,Challenger Women Singles,,,,,,,Figueira Da Foz (Portugal) - Qualification,Figueira Da Foz - Quarter-finals,challenger women singles figueira da foz (portugal)   qualification figueira da foz   quarter finals 13974,Figueira Da Foz (Portugal) - Qualification,Figueira Da Foz - Quarter-finals,S. Bandecchi - A. Charaeva,S. Bandecchi,A. Charaeva,home,Home,3.0836,3.0836,3.08,3.45,Unibet,0.32429628,level_only_qualifying_strict,0.49596337,0.17166709,2,,12,11,1,1.0,Standard,484,13421,women:api:484,women:api:13421,women:sackmann:214826,women:sackmann:221406,mapped,0.8,0.6,0.2,0.8,0.6,0.2,0.7,0.4,0.3,1.8,2.9,-1.1,2,1,1,FORM_SUPPORTS_PICK,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:08.834352+02:00
f2e3037a9eda035472033f339ff786dd,pending,NO_BET,none,min_level_not_met,2026-06-19,13:30,women,qualifying,unknown,missing,Challenger Women Singles,,,,,,,Figueira Da Foz (Portugal) - Qualification,Figueira Da Foz - Quarter-finals,challenger women singles figueira da foz (portugal)   qualification figueira da foz   quarter finals 13974,Figueira Da Foz (Portugal) - Qualification,Figueira Da Foz - Quarter-finals,S. Bandecchi - A. Charaeva,A. Charaeva,S. Bandecchi,away,Away,1.3342,1.3342,1.33,1.4,bet365,0.74951282,level_only_qualifying_strict,0.50403663,-0.24547618,2,,12,12,0,1.0,Standard,13421,484,women:api:13421,women:api:484,women:sackmann:221406,women:sackmann:214826,mapped,0.6,0.8,-0.2,0.6,0.8,-0.2,0.4,0.7,-0.3,2.9,1.8,1.1,2,1,1,FORM_AGAINST_PICK,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:08.834439+02:00
8d4b2a0559eb4837b0324aee1452742d,pending,NO_BET,none,odds_outside_range,2026-06-19,14:30,men,atp_wta,unknown,missing,Atp Singles,,,,,,,Halle,ATP Halle - Quarter-finals,atp singles halle atp halle   quarter finals 2041,Halle,ATP Halle - Quarter-finals,D. Altmaier - D. Medvedev,D. Altmaier,D. Medvedev,home,Home,5.4427,5.4427,5.5,6.06,Pncl,0.18373234,blend_70_30,,,,,12,11,1,,,1099,1093,men:api:1099,men:api:1093,men:sackmann:127157,men:sackmann:106421,mapped,0.4,0.8,-0.4,0.5,0.7,-0.2,0.1,0.6,-0.5,0.3,1.5,-1.2,1,0,1,FORM_AGAINST_PICK,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:10.797503+02:00
a5ff5ab36f7a6ea0e4ef55748519306d,pending,NO_BET,none,odds_outside_range,2026-06-19,14:30,men,atp_wta,unknown,missing,Atp Singles,,,,,,,Halle,ATP Halle - Quarter-finals,atp singles halle atp halle   quarter finals 2041,Halle,ATP Halle - Quarter-finals,D. Altmaier - D. Medvedev,D. Medvedev,D. Altmaier,away,Away,1.1483,1.1483,1.145,1.17,Betfair,0.87085256,blend_70_30,,,,,12,12,0,,,1093,1099,men:api:1093,men:api:1099,men:sackmann:106421,men:sackmann:127157,mapped,0.8,0.4,0.4,0.7,0.5,0.2,0.6,0.1,0.5,1.5,0.3,1.2,1,1,0,FORM_SUPPORTS_PICK,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:10.797566+02:00
f5bf5b7224f1dc49b667a3da8c0ad31d,pending,NO_BET,none,elo_prob_too_low,2026-06-19,10:00,women,itf,unknown,missing,Itf Women Singles,,,,,,,W75 Blois,W75 Blois - Quarter-finals,itf women singles w75 blois w75 blois   quarter finals 12648,W75 Blois,W75 Blois - Quarter-finals,L. Nguyen Tan - D. Papamichail,L. Nguyen Tan,D. Papamichail,home,Home,2.0436,2.0436,2.05,2.1,bet365,0.48933255,level_only,0.34609986,-0.14323269,159,,11,11,0,1.0,Standard,1135,1111,women:api:1135,women:api:1111,women:sackmann:221468,women:sackmann:202604,mapped,0.4,0.6,-0.2,0.5,0.6,-0.1,0.1,0.1,0.0,0.4,0.6,-0.2,0,0,0,FORM_NEUTRAL,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:12.625322+02:00
18c7122e472c318f91137d26c0a9e540,pending,BET,normal,pass_edge,2026-06-19,10:00,women,itf,unknown,missing,Itf Women Singles,,,,,,,W75 Blois,W75 Blois - Quarter-finals,itf women singles w75 blois w75 blois   quarter finals 12648,W75 Blois,W75 Blois - Quarter-finals,L. Nguyen Tan - D. Papamichail,D. Papamichail,L. Nguyen Tan,away,Away,1.6945,1.6945,1.7,1.79,Pncl,0.59014459,level_only,0.65390014,0.06375555,159,,11,11,0,1.0,Standard,1111,1135,women:api:1111,women:api:1135,women:sackmann:202604,women:sackmann:221468,mapped,0.6,0.4,0.2,0.6,0.5,0.1,0.1,0.1,0.0,0.6,0.4,0.2,0,0,0,FORM_NEUTRAL,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:12.625409+02:00
0d7179392417f48f94cb5706a62cf4bf,pending,NO_BET,none,elo_prob_too_low,2026-06-19,04:10,women,itf,unknown,missing,Itf Women Singles,,,,,,,W35 Taipei,W35 Taipei - Quarter-finals,itf women singles w35 taipei w35 taipei   quarter finals 11197,W35 Taipei,W35 Taipei - Quarter-finals,M. Matsuda - H. Kaji,M. Matsuda,H. Kaji,home,Home,2.2318,2.2318,2.22,2.29,Pncl,0.44806882,level_only,0.46430313,0.01623431,141,,11,11,0,1.0,Standard,1423,5088,women:api:1423,women:api:5088,women:sackmann:216324,women:sackmann:211844,mapped,0.6,0.6,0.0,0.6,0.6,0.0,0.5,0.5,0.0,1.5,2.3,-0.8,3,1,2,FORM_NEUTRAL,H2H_AGAINST_PICK,FATIGUE_NEUTRAL,2026-06-19T09:27:14.458656+02:00
589582aadaa09d513679b08baf58fba7,pending,NO_BET,none,elo_edge_too_low,2026-06-19,04:10,women,itf,unknown,missing,Itf Women Singles,,,,,,,W35 Taipei,W35 Taipei - Quarter-finals,itf women singles w35 taipei w35 taipei   quarter finals 11197,W35 Taipei,W35 Taipei - Quarter-finals,M. Matsuda - H. Kaji,H. Kaji,M. Matsuda,away,Away,1.58,1.58,1.57,1.64,Pncl,0.63291139,level_only,0.53569687,-0.09721452,141,,11,11,0,1.0,Standard,5088,1423,women:api:5088,women:api:1423,women:sackmann:211844,women:sackmann:216324,mapped,0.6,0.6,0.0,0.6,0.6,0.0,0.5,0.5,0.0,2.3,1.5,0.8,3,2,1,FORM_NEUTRAL,H2H_SUPPORTS_PICK,FATIGUE_NEUTRAL,2026-06-19T09:27:14.458740+02:00
c1802f05baf48f3016d078090aa8b2e8,pending,NO_BET,none,unknown_surface,2026-06-19,12:30,women,atp_wta,unknown,missing,Wta Singles,,,,,,,Berlin,WTA Berlin - Quarter-finals,wta singles berlin wta berlin   quarter finals 3183,Berlin,WTA Berlin - Quarter-finals,L. Noskova - P. Badosa,L. Noskova,P. Badosa,home,Home,1.4283,1.4283,1.435,1.46,Sbo,0.70013303,blend_70_30,,,,,12,12,0,,,447,2178,women:api:447,women:api:2178,women:sackmann:222328,women:sackmann:211651,mapped,0.6,0.4,0.2,0.6,0.4,0.2,0.3,-0.3,0.6,1.6,-1.0,2.6,1,1,0,FORM_SUPPORTS_PICK,H2H_TOO_SMALL,FATIGUE_NEUTRAL,2026-06-19T09:27:16.405218+02:00
